GameID,StadiumID,TournamentID,TeamA,TeamB,GameDate,Attendance,TournamentStage
1,1,0,1,4,2-Jun-86,60000,Group stage
2,2,0,2,1,2-Jun-86,32000,Group stage
3,1,0,1,3,5-Jun-86,65000,Group stage
4,2,0,1,19,10-Jun-86,26000,Round of 16
5,3,0,1,22,16-Jun-86,114580,Quarter-finals
6,3,0,1,7,22-Jun-86,114500,Semi-finals
7,3,0,1,18,25-Jun-86,114600,Final
8,3,0,3,2,29-Jun-86,96000,Group stage
9,2,0,4,2,31-May-86,20000,Group stage
10,1,0,2,10,10-Jun-86,70000,Round of 16
11,1,0,4,3,17-Jun-86,45000,Group stage
12,3,0,5,3,5-Jun-86,114580,Round of 16
13,3,0,7,5,15-Jun-86,110000,Group stage
14,3,0,5,6,3-Jun-86,114600,Group stage
15,3,0,8,5,7-Jun-86,103763,Group stage
16,4,0,18,5,11-Jun-86,41700,Quarter-finals
17,5,0,6,8,21-Jun-86,24000,Group stage
18,5,0,6,7,4-Jun-86,16000,Group stage
19,3,0,22,6,11-Jun-86,98728,Round of 16
20,5,0,8,7,18-Jun-86,20000,Group stage
21,6,0,9,7,6/8/1986,32277,Round of 16
22,2,0,14,7,6/15/1986,45000,Quarter-finals
23,2,0,10,7,22-Jun-86,21000,Third-place match
24,7,0,9,11,28-Jun-86,16500,Group stage
25,6,0,10,9,2-Jun-86,36540,Group stage
26,7,0,9,12,5-Jun-86,14200,Group stage
27,6,0,12,10,9-Jun-86,65500,Group stage
28,6,0,11,10,1-Jun-86,31420,Group stage
29,8,0,13,10,9-Jun-86,65000,Quarter-finals
30,8,0,10,18,21-Jun-86,45000,Semi-finals
31,7,0,11,12,25-Jun-86,13800,Group stage
32,8,0,14,13,6-Jun-86,35748,Group stage
33,8,0,13,16,1-Jun-86,48000,Group stage
34,8,0,15,13,6-Jun-86,51000,Group stage
35,8,0,13,23,12-Jun-86,45000,Round of 16
36,9,0,15,14,16-Jun-86,28000,Group stage
37,10,0,16,14,7-Jun-86,23980,Group stage
38,11,0,17,14,12-Jun-86,38500,Round of 16
39,9,0,16,15,18-Jun-86,22000,Group stage
40,12,0,20,17,3-Jun-86,18000,Group stage
41,12,0,17,19,4-Jun-86,26500,Group stage
42,11,0,17,18,8-Jun-86,36000,Group stage
43,11,0,19,18,13-Jun-86,30500,Group stage
44,11,0,18,20,4-Jun-86,30000,Group stage
45,4,0,21,18,8-Jun-86,19800,Round of 16
46,12,0,20,19,17-Jun-86,20000,Group stage
47,4,0,21,23,13-Jun-86,19900,Group stage
48,10,0,22,21,2-Jun-86,20200,Group stage
49,9,0,24,21,6-Jun-86,28000,Group stage
50,10,0,24,22,11-Jun-86,23000,Group stage
51,10,0,22,23,3-Jun-86,22700,Group stage
52,4,0,23,24,11-Jun-86,19915,Group stage
53,13,4,2,26,7-Jun-86,73303,Group stage
54,13,4,2,27,9-Jun-90,73423,Group stage
55,13,4,2,25,14-Jun-90,73303,Group stage
56,13,4,2,19,19-Jun-90,73303,Round of 16
57,13,4,2,35,25-Jun-90,73303,Quarter-finals
58,14,4,2,1,30-Jun-90,59978,Semi-finals
59,15,4,2,22,3-Jul-90,51426,Third-place match
60,16,4,27,25,7-Jul-90,33266,Group stage
61,16,4,26,25,10-Jun-90,38962,Group stage
62,15,4,25,30,15-Jun-90,47673,Round of 16
63,17,4,18,25,23-Jun-90,73347,Quarter-finals
64,16,4,26,27,1-Jul-90,34857,Group stage
65,17,4,1,28,19-Jun-90,73780,Group stage
66,15,4,28,29,8-Jun-90,38687,Group stage
67,15,4,28,9,14-Jun-90,37307,Group stage
68,14,4,28,33,18-Jun-90,50026,Round of 16
69,14,4,22,28,23-Jun-90,55205,Quarter-finals
70,15,4,9,29,1-Jul-90,42907,Group stage
71,14,4,1,29,9-Jun-90,52733,Group stage
72,18,4,35,29,18-Jun-90,31818,Round of 16
73,14,4,1,9,25-Jun-90,55759,Group stage
74,19,4,13,1,13-Jun-90,61381,Round of 16
75,16,4,32,1,24-Jun-90,38971,Quarter-finals
76,13,4,18,1,30-Jun-90,73603,Final
77,19,4,13,31,8-Jul-90,62628,Group stage
78,19,4,13,30,10-Jun-90,58007,Group stage
79,19,4,13,20,16-Jun-90,62502,Group stage
80,18,4,30,20,20-Jun-90,30867,Group stage
81,18,4,31,30,11-Jun-90,30223,Group stage
82,18,4,31,20,20-Jun-90,31823,Group stage
83,17,4,18,32,16-Jun-90,74765,Group stage
84,17,4,18,34,10-Jun-90,71169,Group stage
85,17,4,18,33,15-Jun-90,72510,Group stage
86,17,4,18,36,19-Jun-90,74559,Round of 16
87,19,4,18,22,24-Jun-90,62628,Semi-finals
88,20,4,32,33,4-Jul-90,32257,Group stage
89,20,4,32,34,14-Jun-90,27833,Group stage
90,21,4,14,32,19-Jun-90,35500,Round of 16
91,20,4,34,33,26-Jun-90,30791,Group stage
92,22,4,19,14,9-Jun-90,35713,Group stage
93,22,4,4,14,13-Jun-90,32733,Group stage
94,21,4,7,14,6/17/1990,35950,Group stage
95,21,4,7,4,21-Jun-90,32790,Group stage
96,21,4,7,19,12-Jun-90,33759,Group stage
97,20,4,22,7,17-Jun-90,34520,Round of 16
98,23,4,4,19,26-Jun-90,29039,Group stage
99,24,4,22,35,21-Jun-90,35238,Group stage
100,24,4,22,36,11-Jun-90,35267,Group stage
101,24,4,22,37,16-Jun-90,34959,Group stage
102,25,4,35,37,21-Jun-90,33288,Group stage
103,25,4,35,36,17-Jun-90,33288,Group stage
104,25,4,36,37,21-Jun-90,33288,Group stage
105,26,8,33,29,12-Jun-90,91856,Group stage
106,27,8,29,38,18-Jun-94,61428,Group stage
107,26,8,27,29,22-Jun-94,93869,Group stage
108,26,8,29,1,26-Jun-94,90469,Round of 16
109,28,8,29,31,3-Jul-94,83500,Quarter-finals
110,27,8,27,38,10-Jul-94,73425,Group stage
111,28,8,38,33,18-Jun-94,83401,Group stage
112,29,8,14,38,26-Jun-94,53121,Round of 16
113,26,8,27,33,2-Jul-94,93869,Group stage
114,28,8,13,27,22-Jun-94,84147,Round of 16
115,28,8,13,39,4-Jul-94,81061,Group stage
116,28,8,13,28,20-Jun-94,83401,Group stage
117,27,8,13,31,24-Jun-94,77217,Group stage
118,30,8,36,13,28-Jun-94,63500,Quarter-finals
119,26,8,31,13,9-Jul-94,91856,Semi-finals
120,26,8,13,2,13-Jul-94,94194,Final
121,26,8,28,31,17-Jul-94,93194,Group stage
122,27,8,31,39,19-Jun-94,71528,Group stage
123,30,8,45,31,24-Jun-94,60277,Round of 16
124,26,8,31,3,3-Jul-94,91500,Third-place match
125,28,8,39,28,16-Jul-94,74914,Group stage
126,31,8,40,41,28-Jun-94,63117,Group stage
127,31,8,40,14,17-Jun-94,63113,Group stage
128,30,8,40,4,21-Jun-94,63998,Group stage
129,31,8,40,7,27-Jun-94,60246,Round of 16
130,32,8,3,40,2-Jul-94,72000,Quarter-finals
131,30,8,14,4,10-Jul-94,56247,Group stage
132,31,8,41,14,17-Jun-94,63089,Group stage
133,33,8,2,14,27-Jun-94,53400,Quarter-finals
134,33,8,4,41,9-Jul-94,54453,Group stage
135,30,8,42,3,23-Jun-94,44132,Group stage
136,33,8,1,42,21-Jun-94,54453,Group stage
137,33,8,43,42,25-Jun-94,53001,Group stage
138,33,8,42,2,30-Jun-94,54367,Round of 16
139,31,8,3,43,5-Jul-94,63160,Group stage
140,30,8,1,3,26-Jun-94,63998,Group stage
141,32,8,5,3,30-Jun-94,71030,Round of 16
142,32,8,3,2,5-Jul-94,74110,Semi-finals
143,33,8,1,43,13-Jul-94,54456,Group stage
144,29,8,44,5,21-Jun-94,52395,Group stage
145,34,8,5,35,19-Jun-94,60790,Group stage
146,29,8,2,5,24-Jun-94,52535,Group stage
147,32,8,2,35,28-Jun-94,75338,Group stage
148,32,8,35,44,18-Jun-94,72404,Group stage
149,34,8,36,35,28-Jun-94,61355,Round of 16
150,32,8,2,44,4-Jul-94,74624,Group stage
151,29,8,36,45,23-Jun-94,50535,Group stage
152,34,8,7,36,20-Jun-94,62387,Group stage
153,34,8,21,36,25-Jun-94,60578,Group stage
154,32,8,45,21,29-Jun-94,76322,Group stage
155,29,8,7,45,25-Jun-94,52959,Group stage
156,34,8,7,21,29-Jun-94,61219,Group stage
157,35,12,13,20,19-Jun-94,80000,Group stage
158,36,12,13,21,10-Jun-98,38500,Group stage
159,37,12,13,44,16-Jun-98,57000,Group stage
160,38,12,13,46,23-Jun-98,45500,Round of 16
161,36,12,13,17,27-Jun-98,49500,Quarter-finals
162,37,12,13,36,3-Jul-98,60000,Semi-finals
163,35,12,13,10,7-Jul-98,80000,Final
164,39,12,21,44,12-Jul-98,29750,Group stage
165,40,12,20,44,10-Jun-98,31800,Group stage
166,37,12,2,44,16-Jun-98,55000,Round of 16
167,41,12,20,21,27-Jun-98,36000,Group stage
168,40,12,2,46,23-Jun-98,35200,Group stage
169,39,12,2,28,11-Jun-98,35500,Group stage
170,35,12,2,26,17-Jun-98,80000,Group stage
