TeamA,TeamB,GameDate,Attendence,Venue
Argentina,Korea Republic,"['Monday June 2, 1986']",60000,"Estadio Olï¿½mpico Universitario, Mexico City  (Neutral Site)"
Italy,Argentina,"['Thursday June 5, 1986']",32000,"Cuauhtemoc, Puebla  (Neutral Site)"
Argentina,Bulgaria,"['Tuesday June 10, 1986']",65000,"Estadio Olï¿½mpico Universitario, Mexico City  (Neutral Site)"
Argentina,Uruguay,"['Monday June 16, 1986']",26000,"Cuauhtemoc, Puebla  (Neutral Site)"
Argentina,England,"['Sunday June 22, 1986']",114580,"Estadio Azteca, Mexico City  (Neutral Site)"
Argentina,Belgium,"['Wednesday June 25, 1986']",114500,"Estadio Azteca, Mexico City  (Neutral Site)"
Argentina,West Germany,"['Sunday June 29, 1986']",114600,"Estadio Azteca, Mexico City  (Neutral Site)"
Bulgaria,Italy,"['Saturday May 31, 1986']",96000,"Estadio Azteca, Mexico City  (Neutral Site)"
Korea Republic,Italy,"['Tuesday June 10, 1986']",20000,"Cuauhtemoc, Puebla  (Neutral Site)"
Italy,France,"['Tuesday June 17, 1986']",70000,"Estadio Olï¿½mpico Universitario, Mexico City  (Neutral Site)"
Korea Republic,Bulgaria,"['Thursday June 5, 1986']",45000,"Estadio Olï¿½mpico Universitario, Mexico City  (Neutral Site)"
Mexico,Bulgaria,"['Sunday June 15, 1986']",114580,"Estadio Azteca, Mexico City  (Neutral Site)"
Belgium,Mexico,"['Tuesday June 3, 1986']",110000,"Estadio Azteca, Mexico City  (Neutral Site)"
Mexico,Paraguay,"['Saturday June 7, 1986']",114600,"Estadio Azteca, Mexico City  (Neutral Site)"
Iraq,Mexico,"['Wednesday June 11, 1986']",103763,"Estadio Azteca, Mexico City  (Neutral Site)"
West Germany,Mexico,"['Saturday June 21, 1986']",41700,"Estadio Universitario, Monterrey  (Neutral Site)"
Paraguay,Iraq,"['Wednesday June 4, 1986']",24000,"Bombonera - Estadio Nemesio Diez, Toluca  (Neutral Site)"
Paraguay,Belgium,"['Wednesday June 11, 1986']",16000,"Bombonera - Estadio Nemesio Diez, Toluca  (Neutral Site)"
England,Paraguay,"['Wednesday June 18, 1986']",98728,"Estadio Azteca, Mexico City  (Neutral Site)"
Iraq,Belgium,"['Sunday June 8, 1986']",20000,"Bombonera - Estadio Nemesio Diez, Toluca  (Neutral Site)"
Soviet Union,Belgium,"['Sunday June 15, 1986']",32277,"Nou Camp - Estadio Leï¿½n, Leon  (Neutral Site)"
Spain,Belgium,"['Sunday June 22, 1986']",45000,"Cuauhtemoc, Puebla  (Neutral Site)"
France,Belgium,"['Saturday June 28, 1986']",21000,"Cuauhtemoc, Puebla  (Neutral Site)"
Soviet Union,Hungary,"['Monday June 2, 1986']",16500,"Estadio Irapuato, Irapuato  (Neutral Site)"
France,Soviet Union,"['Thursday June 5, 1986']",36540,"Nou Camp - Estadio Leï¿½n, Leon  (Neutral Site)"
Soviet Union,Canada,"['Monday June 9, 1986']",14200,"Estadio Irapuato, Irapuato  (Neutral Site)"
Canada,France,"['Sunday June 1, 1986']",65500,"Nou Camp - Estadio Leï¿½n, Leon  (Neutral Site)"
Hungary,France,"['Monday June 9, 1986']",31420,"Nou Camp - Estadio Leï¿½n, Leon  (Neutral Site)"
Brazil,France,"['Saturday June 21, 1986']",65000,"Jalisco, Guadalajara  (Neutral Site)"
France,West Germany,"['Wednesday June 25, 1986']",45000,"Jalisco, Guadalajara  (Neutral Site)"
Hungary,Canada,"['Friday June 6, 1986']",13800,"Estadio Irapuato, Irapuato  (Neutral Site)"
Spain,Brazil,"['Sunday June 1, 1986']",35748,"Jalisco, Guadalajara  (Neutral Site)"
Brazil,Algeria,"['Friday June 6, 1986']",48000,"Jalisco, Guadalajara  (Neutral Site)"
Northern Ireland,Brazil,"['Thursday June 12, 1986']",51000,"Jalisco, Guadalajara  (Neutral Site)"
Brazil,Poland,"['Monday June 16, 1986']",45000,"Jalisco, Guadalajara  (Neutral Site)"
Northern Ireland,Spain,"['Saturday June 7, 1986']",28000,"Tres de Marzo, Guadalajara  (Neutral Site)"
Algeria,Spain,"['Thursday June 12, 1986']",23980,"Tecnologico, Monterrey  (Neutral Site)"
Denmark,Spain,"['Wednesday June 18, 1986']",38500,"Estadio Corregidora, Queretaro  (Neutral Site)"
Algeria,Northern Ireland,"['Tuesday June 3, 1986']",22000,"Tres de Marzo, Guadalajara  (Neutral Site)"
Scotland,Denmark,"['Wednesday June 4, 1986']",18000,"Neza, Nezahualcoyotl  (Neutral Site)"
Denmark,Uruguay,"['Sunday June 8, 1986']",26500,"Neza, Nezahualcoyotl  (Neutral Site)"
Denmark,West Germany,"['Friday June 13, 1986']",36000,"Estadio Corregidora, Queretaro  (Neutral Site)"
Uruguay,West Germany,"['Wednesday June 4, 1986']",30500,"Estadio Corregidora, Queretaro  (Neutral Site)"
West Germany,Scotland,"['Sunday June 8, 1986']",30000,"Estadio Corregidora, Queretaro  (Neutral Site)"
Morocco,West Germany,"['Tuesday June 17, 1986']",19800,"Estadio Universitario, Monterrey  (Neutral Site)"
Scotland,Uruguay,"['Friday June 13, 1986']",20000,"Neza, Nezahualcoyotl  (Neutral Site)"
Morocco,Poland,"['Monday June 2, 1986']",19900,"Estadio Universitario, Monterrey  (Neutral Site)"
England,Morocco,"['Friday June 6, 1986']",20200,"Tecnologico, Monterrey  (Neutral Site)"
Portugal,Morocco,"['Wednesday June 11, 1986']",28000,"Tres de Marzo, Guadalajara  (Neutral Site)"
Portugal,England,"['Tuesday June 3, 1986']",23000,"Tecnologico, Monterrey  (Neutral Site)"
England,Poland,"['Wednesday June 11, 1986']",22700,"Tecnologico, Monterrey  (Neutral Site)"
Poland,Portugal,"['Saturday June 7, 1986']",19915,"Estadio Universitario, Monterrey  (Neutral Site)"
Italy,Austria,"['Saturday June 9, 1990']",73303,"Stadio Olimpico, Rome  (Neutral Site)"
Italy,United States,"['Thursday June 14, 1990']",73423,"Stadio Olimpico, Rome  (Neutral Site)"
Italy,Czechoslovakia,"['Tuesday June 19, 1990']",73303,"Stadio Olimpico, Rome  (Neutral Site)"
Italy,Uruguay,"['Monday June 25, 1990']",73303,"Stadio Olimpico, Rome  (Neutral Site)"
Italy,Republic of Ireland,"['Saturday June 30, 1990']",73303,"Stadio Olimpico, Rome  (Neutral Site)"
Italy,Argentina,"['Tuesday July 3, 1990']",59978,"San Paolo, Naples  (Neutral Site)"
Italy,England,"['Saturday July 7, 1990']",51426,"Stadio San Nicola, Bari  (Neutral Site)"
United States,Czechoslovakia,"['Sunday June 10, 1990']",33266,"Comunale, Florence  (Neutral Site)"
Austria,Czechoslovakia,"['Friday June 15, 1990']",38962,"Comunale, Florence  (Neutral Site)"
Czechoslovakia,Costa Rica,"['Saturday June 23, 1990']",47673,"Stadio San Nicola, Bari  (Neutral Site)"
West Germany,Czechoslovakia,"['Sunday July 1, 1990']",73347,"Giuseppe Meazza, Milan  (Neutral Site)"
Austria,United States,"['Tuesday June 19, 1990']",34857,"Comunale, Florence  (Neutral Site)"
Argentina,Cameroon,"['Friday June 8, 1990']",73780,"Giuseppe Meazza, Milan  (Neutral Site)"
Cameroon,Romania,"['Thursday June 14, 1990']",38687,"Stadio San Nicola, Bari  (Neutral Site)"
Cameroon,Soviet Union,"['Monday June 18, 1990']",37307,"Stadio San Nicola, Bari  (Neutral Site)"
Cameroon,Colombia,"['Saturday June 23, 1990']",50026,"San Paolo, Naples  (Neutral Site)"
England,Cameroon,"['Sunday July 1, 1990']",55205,"San Paolo, Naples  (Neutral Site)"
Soviet Union,Romania,"['Saturday June 9, 1990']",42907,"Stadio San Nicola, Bari  (Neutral Site)"
Argentina,Romania,"['Monday June 18, 1990']",52733,"San Paolo, Naples  (Neutral Site)"
Republic of Ireland,Romania,"['Monday June 25, 1990']",31818,"Luigi Ferraris, Genoa  (Neutral Site)"
Argentina,Soviet Union,"['Wednesday June 13, 1990']",55759,"San Paolo, Naples  (Neutral Site)"
Brazil,Argentina,"['Sunday June 24, 1990']",61381,"Stadio delle Alpi, Turin  (Neutral Site)"
Yugoslavia,Argentina,"['Saturday June 30, 1990']",38971,"Comunale, Florence  (Neutral Site)"
West Germany,Argentina,"['Sunday July 8, 1990']",73603,"Stadio Olimpico, Rome  (Neutral Site)"
Brazil,Sweden,"['Sunday June 10, 1990']",62628,"Stadio delle Alpi, Turin  (Neutral Site)"
Brazil,Costa Rica,"['Saturday June 16, 1990']",58007,"Stadio delle Alpi, Turin  (Neutral Site)"
Brazil,Scotland,"['Wednesday June 20, 1990']",62502,"Stadio delle Alpi, Turin  (Neutral Site)"
Costa Rica,Scotland,"['Monday June 11, 1990']",30867,"Luigi Ferraris, Genoa  (Neutral Site)"
Sweden,Costa Rica,"['Wednesday June 20, 1990']",30223,"Luigi Ferraris, Genoa  (Neutral Site)"
Sweden,Scotland,"['Saturday June 16, 1990']",31823,"Luigi Ferraris, Genoa  (Neutral Site)"
West Germany,Yugoslavia,"['Sunday June 10, 1990']",74765,"Giuseppe Meazza, Milan  (Neutral Site)"
West Germany,United Arab Emirates,"['Friday June 15, 1990']",71169,"Giuseppe Meazza, Milan  (Neutral Site)"
West Germany,Colombia,"['Tuesday June 19, 1990']",72510,"Giuseppe Meazza, Milan  (Neutral Site)"
West Germany,Netherlands,"['Sunday June 24, 1990']",74559,"Giuseppe Meazza, Milan  (Neutral Site)"
West Germany,England,"['Wednesday July 4, 1990']",62628,"Stadio delle Alpi, Turin  (Neutral Site)"
Yugoslavia,Colombia,"['Thursday June 14, 1990']",32257,"Renato Dall Ara, Bologna  (Neutral Site)"
Yugoslavia,United Arab Emirates,"['Tuesday June 19, 1990']",27833,"Renato Dall Ara, Bologna  (Neutral Site)"
Spain,Yugoslavia,"['Tuesday June 26, 1990']",35500,"Marc Antonio Bentegodi, Verona  (Neutral Site)"
United Arab Emirates,Colombia,"['Saturday June 9, 1990']",30791,"Renato Dall Ara, Bologna  (Neutral Site)"
Uruguay,Spain,"['Wednesday June 13, 1990']",35713,"Dacia Arena, Udine  (Neutral Site)"
Korea Republic,Spain,"['Sunday June 17, 1990']",32733,"Dacia Arena, Udine  (Neutral Site)"
Belgium,Spain,"['Thursday June 21, 1990']",35950,"Marc Antonio Bentegodi, Verona  (Neutral Site)"
Belgium,Korea Republic,"['Tuesday June 12, 1990']",32790,"Marc Antonio Bentegodi, Verona  (Neutral Site)"
Belgium,Uruguay,"['Sunday June 17, 1990']",33759,"Marc Antonio Bentegodi, Verona  (Neutral Site)"
England,Belgium,"['Tuesday June 26, 1990']",34520,"Renato Dall Ara, Bologna  (Neutral Site)"
Korea Republic,Uruguay,"['Thursday June 21, 1990']",29039,"Friuli, Udine  (Neutral Site)"
England,Republic of Ireland,"['Monday June 11, 1990']",35238,"Sant Elia, Cagliari  (Neutral Site)"
