GameID,StadiumID,TournamentID,Team_a,Team_b,GameDate,Attendence,Stage
1,1,0,1,4,"Monday June 2, 1986",60000,Group stage
2,2,0,2,1,"Thursday June 5, 1986",32000,Group stage
3,1,0,1,3,"Tuesday June 10, 1986",65000,Group stage
4,2,0,1,19,"Monday June 16, 1986",26000,Round of 16
5,3,0,1,22,"Sunday June 22, 1986",114580,Quarter-finals
6,3,0,1,7,"Wednesday June 25, 1986",114500,Semi-finals
7,3,0,1,18,"Sunday June 29, 1986",114600,Final
8,3,0,3,2,"Saturday May 31, 1986",96000,Group stage
9,2,0,4,2,"Tuesday June 10, 1986",20000,Group stage
10,1,0,2,10,"Tuesday June 17, 1986",70000,Round of 16
11,1,0,4,3,"Thursday June 5, 1986",45000,Group stage
12,3,0,5,3,"Sunday June 15, 1986",114580,Round of 16
13,3,0,7,5,"Tuesday June 3, 1986",110000,Group stage
14,3,0,5,6,"Saturday June 7, 1986",114600,Group stage
15,3,0,8,5,"Wednesday June 11, 1986",103763,Group stage
16,4,0,18,5,"Saturday June 21, 1986",41700,Quarter-finals
17,5,0,6,8,"Wednesday June 4, 1986",24000,Group stage
18,5,0,6,7,"Wednesday June 11, 1986",16000,Group stage
19,3,0,22,6,"Wednesday June 18, 1986",98728,Round of 16
20,5,0,8,7,"Sunday June 8, 1986",20000,Group stage
21,6,0,9,7,"Sunday June 15, 1986",32277,Round of 16
22,2,0,14,7,"Sunday June 22, 1986",45000,Quarter-finals
23,2,0,10,7,"Saturday June 28, 1986",21000,Third-place match
24,7,0,9,11,"Monday June 2, 1986",16500,Group stage
25,6,0,10,9,"Thursday June 5, 1986",36540,Group stage
26,7,0,9,12,"Monday June 9, 1986",14200,Group stage
27,6,0,12,10,"Sunday June 1, 1986",65500,Group stage
28,6,0,11,10,"Monday June 9, 1986",31420,Group stage
29,8,0,13,10,"Saturday June 21, 1986",65000,Quarter-finals
30,8,0,10,18,"Wednesday June 25, 1986",45000,Semi-finals
31,7,0,11,12,"Friday June 6, 1986",13800,Group stage
32,8,0,14,13,"Sunday June 1, 1986",35748,Group stage
33,8,0,13,16,"Friday June 6, 1986",48000,Group stage
34,8,0,15,13,"Thursday June 12, 1986",51000,Group stage
35,8,0,13,23,"Monday June 16, 1986",45000,Round of 16
36,9,0,15,14,"Saturday June 7, 1986",28000,Group stage
37,10,0,16,14,"Thursday June 12, 1986",23980,Group stage
38,11,0,17,14,"Wednesday June 18, 1986",38500,Round of 16
39,9,0,16,15,"Tuesday June 3, 1986",22000,Group stage
40,12,0,20,17,"Wednesday June 4, 1986",18000,Group stage
41,12,0,17,19,"Sunday June 8, 1986",26500,Group stage
42,11,0,17,18,"Friday June 13, 1986",36000,Group stage
43,11,0,19,18,"Wednesday June 4, 1986",30500,Group stage
44,11,0,18,20,"Sunday June 8, 1986",30000,Group stage
45,4,0,21,18,"Tuesday June 17, 1986",19800,Round of 16
46,12,0,20,19,"Friday June 13, 1986",20000,Group stage
47,4,0,21,23,"Monday June 2, 1986",19900,Group stage
48,10,0,22,21,"Friday June 6, 1986",20200,Group stage
49,9,0,24,21,"Wednesday June 11, 1986",28000,Group stage
50,10,0,24,22,"Tuesday June 3, 1986",23000,Group stage
51,10,0,22,23,"Wednesday June 11, 1986",22700,Group stage
52,4,0,23,24,"Saturday June 7, 1986",19915,Group stage
53,13,4,2,26,"Saturday June 9, 1990",73303,Group stage
54,13,4,2,27,"Thursday June 14, 1990",73423,Group stage
55,13,4,2,25,"Tuesday June 19, 1990",73303,Group stage
56,13,4,2,19,"Monday June 25, 1990",73303,Round of 16
57,13,4,2,35,"Saturday June 30, 1990",73303,Quarter-finals
58,14,4,2,1,"Tuesday July 3, 1990",59978,Semi-finals
59,15,4,2,22,"Saturday July 7, 1990",51426,Third-place match
60,16,4,27,25,"Sunday June 10, 1990",33266,Group stage
61,16,4,26,25,"Friday June 15, 1990",38962,Group stage
62,15,4,25,30,"Saturday June 23, 1990",47673,Round of 16
63,17,4,18,25,"Sunday July 1, 1990",73347,Quarter-finals
64,16,4,26,27,"Tuesday June 19, 1990",34857,Group stage
65,17,4,1,28,"Friday June 8, 1990",73780,Group stage
66,15,4,28,29,"Thursday June 14, 1990",38687,Group stage
67,15,4,28,9,"Monday June 18, 1990",37307,Group stage
68,14,4,28,33,"Saturday June 23, 1990",50026,Round of 16
69,14,4,22,28,"Sunday July 1, 1990",55205,Quarter-finals
70,15,4,9,29,"Saturday June 9, 1990",42907,Group stage
71,14,4,1,29,"Monday June 18, 1990",52733,Group stage
72,18,4,35,29,"Monday June 25, 1990",31818,Round of 16
73,14,4,1,9,"Wednesday June 13, 1990",55759,Group stage
74,19,4,13,1,"Sunday June 24, 1990",61381,Round of 16
75,16,4,32,1,"Saturday June 30, 1990",38971,Quarter-finals
76,13,4,18,1,"Sunday July 8, 1990",73603,Final
77,19,4,13,31,"Sunday June 10, 1990",62628,Group stage
78,19,4,13,30,"Saturday June 16, 1990",58007,Group stage
79,19,4,13,20,"Wednesday June 20, 1990",62502,Group stage
80,18,4,30,20,"Monday June 11, 1990",30867,Group stage
81,18,4,31,30,"Wednesday June 20, 1990",30223,Group stage
82,18,4,31,20,"Saturday June 16, 1990",31823,Group stage
83,17,4,18,32,"Sunday June 10, 1990",74765,Group stage
84,17,4,18,34,"Friday June 15, 1990",71169,Group stage
85,17,4,18,33,"Tuesday June 19, 1990",72510,Group stage
86,17,4,18,36,"Sunday June 24, 1990",74559,Round of 16
87,19,4,18,22,"Wednesday July 4, 1990",62628,Semi-finals
88,20,4,32,33,"Thursday June 14, 1990",32257,Group stage
89,20,4,32,34,"Tuesday June 19, 1990",27833,Group stage
90,21,4,14,32,"Tuesday June 26, 1990",35500,Round of 16
91,20,4,34,33,"Saturday June 9, 1990",30791,Group stage
92,22,4,19,14,"Wednesday June 13, 1990",35713,Group stage
93,22,4,4,14,"Sunday June 17, 1990",32733,Group stage
94,21,4,7,14,"Thursday June 21, 1990",35950,Group stage
95,21,4,7,4,"Tuesday June 12, 1990",32790,Group stage
96,21,4,7,19,"Sunday June 17, 1990",33759,Group stage
97,20,4,22,7,"Tuesday June 26, 1990",34520,Round of 16
98,23,4,4,19,"Thursday June 21, 1990",29039,Group stage
99,24,4,22,35,"Monday June 11, 1990",35238,Group stage
100,24,4,22,36,"Saturday June 16, 1990",35267,Group stage
101,24,4,22,37,"Thursday June 21, 1990",34959,Group stage
102,25,4,35,37,"Sunday June 17, 1990",33288,Group stage
103,25,4,35,36,"Thursday June 21, 1990",33288,Group stage
104,25,4,36,37,"Tuesday June 12, 1990",33288,Group stage
105,26,8,33,29,"Saturday June 18, 1994",91856,Group stage
106,27,8,29,38,"Wednesday June 22, 1994",61428,Group stage
107,26,8,27,29,"Sunday June 26, 1994",93869,Group stage
108,26,8,29,1,"Sunday July 3, 1994",90469,Round of 16
109,28,8,29,31,"Sunday July 10, 1994",83500,Quarter-finals
110,27,8,27,38,"Saturday June 18, 1994",73425,Group stage
111,28,8,38,33,"Sunday June 26, 1994",83401,Group stage
112,29,8,14,38,"Saturday July 2, 1994",53121,Round of 16
