1,Ricardo Giusti,11-Dec-56,MF,178,76
3,Diego Maradona,30-Oct-60,FW-MF,165,68
4,Nery Pumpido,30-Jul-57,GK,182,77
5,Oscar Ruggeri,26-Jan-62,DF,185,75
6,Jorge Valdano,4-Oct-55,FW,188,83
7,Jorge Burruchaga,9-Oct-62,FW-MF,176,70
8,Sergio Batista,9-Nov-62,MF,186,83
9,Jos Luis Cuciuffo,1-Feb-61,DF,176,72
10,Oscar Garr,9-Dec-56,DF,175,76
11,Julio Olarticoechea,18-Oct-58,DF-MF,170,71
12,Hctor Enrique,26-Apr-62,MF,172,72
13,Pedro Pasculli,17-May-60,FW,172,72
14,Claudio Borghi,28-Sep-64,FW-MF,181,78
15,Nstor Clausen,29-Sep-62,DF,176,76
16,Carlos Daniel Tapia,20-Aug-62,MF,173,71
17,Ricardo Bochini,25-Jan-54,MF,168,66
18,Marcelo Trobbiani,17-Feb-55,MF,175,76
19,Luis Islas,22-Dec-65,GK,192,89
20,Sergio Omar Almirn,18-Aug-58,FW,174,71
21,Daniel Passarella,25-May-53,DF,174,73
22,Hctor Zelada,30-Apr-57,GK,,
23,Alessandro Altobelli,28-Nov-55,FW,181,74
24,Antonio Cabrini,8-Oct-57,DF,178,72
25,Giovanni Galli,29-Apr-58,GK,187,81
26,Gaetano Scirea,25-May-53,DF,178,75
27,Pietro Vierchowod,6-Apr-59,DF,180,76
28,Fernando De Napoli,15-Mar-64,MF,178,75
29,Salvatore Bagni,25-Sep-56,MF,176,74
30,Giuseppe Galderisi,22-Mar-63,FW,168,70
31,Bruno Conti,13-Mar-55,MF,169,65
32,Antonio Di Gennaro,5-Oct-58,MF,177,72
33,Giuseppe Bergomi,22-Dec-63,DF,184,74
34,Fulvio Collovati,9-May-57,DF,183,75
35,Giuseppe Baresi,7-Feb-58,DF-MF,177,74
36,Gianluca Vialli,9-Jul-64,FW,180,77
37,Carlo Ancelotti,10-Jun-59,MF,179,81
38,Sebastiano Nela,13-Mar-61,DF,177,73
39,Paolo Rossi,23-Sep-56,FW,174,67
40,Aldo Serena,25-Jun-60,FW,183,77
41,Franco Tancredi,10-Jan-55,GK,176,72
42,Marco Tardelli,24-Sep-54,DF-MF,178,70
43,Roberto Tricella,18-Mar-59,DF,183,75
44,Walter Zenga,28-Apr-60,GK,188,84
45,Georgi Dimitrov,14-Jan-59,DF,187,
46,Borislav Mikhailov,12-Feb-63,GK,186,
47,Ayan Sadakov,26-Sep-61,MF,176,
48,Plamen Getov,4-Mar-59,FW-MF,176,
49,Radoslav Zdravkov,30-Jul-56,MF,178,
50,Nasko Sirakov,26-Apr-62,FW-MF,186,
51,Nikolay Arabov,14-Nov-53,DF,176,
52,Petar Petrov,20-Feb-61,DF,183,76
53,Zhivko Gospodinov,6-Sep-57,FW-MF,176,
54,Stoycho Mladenov,12-Apr-57,FW,178,75
55,Aleksandar Markov,17-Aug-61,DF,174,
56,Georgi Yordanov,21-Jul-63,MF,180,
57,Bozhidar Iskrenov,1-Aug-62,MF,180,
58,Kostadin Kostadinov,25-Jun-59,FW,180,
59,Andrey Zhelyazkov,9-Jul-52,MF,,
60,Plamen Markov,11-Sep-57,MF,178,
61,Atanas Pashev,21-Nov-63,MF,,
62,Boycho Velichkov,13-Aug-58,FW,181,
63,Vasil Dragolov,17-Mar-62,FW,174,
64,Ilia Dyakov,28-Sep-63,DF,,
65,Hristo Kolev,21-Sep-64,MF,176,
66,Iliya Valov,29-Dec-61,GK,188,
67,Cha Bum-kun,22-May-53,FW-MF,179,79
68,Park Chang-sun,2-Feb-54,FW-MF,170,
69,Huh Jung-moo,13-Jan-55,MF,174,
70,Park Kyung-hoon,19-Jan-61,DF,172,
71,Chung Yong-hwan,10-Feb-60,DF,178,
72,Oh Yun-kyo,25-May-60,GK,185,
73,Kim Joo-sung,17-Jan-66,MF,177,
74,Cho Kwang-rae,19-Mar-54,MF,171,
75,Byun Byung-joo,26-Apr-61,FW,174,
76,Choi Soon-ho,10-Jan-62,FW,185,
77,Cho Young-jeung,18-Aug-54,DF,172,
78,Cho Min-kook,5-Jul-63,DF,182,
79,Noh Soo-jin,10-Feb-62,FW-MF,177,
80,Kim Yong-se,21-Apr-60,FW,192,
81,Kim Pyung-seok,29-Sep-58,DF,177,
82,Kim Jong-boo,3-Oct-65,FW-MF,183,
83,Chung Jong-soo,27-Mar-61,DF,174,
84,Cho Byung-deuk,26-May-58,GK,183,
85,Yoo Byung-ok,2-Mar-64,DF,177,73
86,Kang Deuk-soo,1-Jan-61,FW-MF,173,67
87,Kim Sam-soo,8-Feb-63,MF,171,
88,Lee Tae-ho,29-Jan-61,FW,172,
89,Flix Cruz,4-Apr-61,DF,179,
90,Pablo Larios,31-Jul-60,GK,179,69
91,Manuel Negrete Arias,11-Mar-59,MF,170,68
92,Fernando Quirarte,17-May-56,DF,180,
93,Ral Servn,29-Apr-63,DF,179,
94,Javier Aguirre,1-Dec-58,MF,173,
95,Toms Boy,28-Jun-52,MF,179,
96,Carlos Muoz,8-Sep-62,,,
97,Hugo Snchez,11-Jul-58,FW,174,73
98,Miguel Espaa,4-Apr-61,MF,175,72
99,Luis Flores,18-Jul-61,FW,,
100,Rafael Amador,15-Feb-59,DF,180,
101,Mario Trejo,11-Feb-56,DF,171,80
102,Carlos de los Cobos,10-Dec-58,DF-MF,176,
