
Name,Position,Height,Weight,Born
Ricardo Giusti,MF,178,76,"December 11, 1956"
Diego Maradona,FW-MF,165,68,"October 30, 1960"
Nery Pumpido,GK,182,77,"July 30, 1957"
Oscar Ruggeri,DF,185,75,"January 26, 1962"
Jorge Valdano,FW,188,83,"October 4, 1955"
Jorge Burruchaga,FW-MF,176,70,"October 9, 1962"
Sergio Batista,MF,186,83,"November 9, 1962"
José Luis Cuciuffo,DF,176,72,"February 1, 1961"
Oscar Garré,DF,175,76,"December 9, 1956"
Julio Olarticoechea,DF-MF,170,71,"October 18, 1958"
Héctor Enrique,MF,172,72,"April 26, 1962"
Pedro Pasculli,FW,172,72,"May 17, 1960"
Claudio Borghi,FW-MF,181,78,"September 28, 1964"
Néstor Clausen,DF,176,76,"September 29, 1962"
Carlos Daniel Tapia,MF,173,71,"August 20, 1962"
Ricardo Bochini,MF,168,66,"January 25, 1954"
Marcelo Trobbiani,MF,175,76,"February 17, 1955"
Luis Islas,GK,192,89,"December 22, 1965"
Sergio Omar Almirón,FW,174,71,"August 18, 1958"
Daniel Passarella,DF,174,73,"May 25, 1953"
Héctor Zelada,GK,0,0,"April 30, 1957"
Alessandro Altobelli,FW,181,74,"November 28, 1955"
Antonio Cabrini,DF,178,72,"October 8, 1957"
Giovanni Galli,GK,187,81,"April 29, 1958"
Gaetano Scirea,DF,178,75,"May 25, 1953"
Pietro Vierchowod,DF,180,76,"April 6, 1959"
Fernando De Napoli,MF,178,75,"March 15, 1964"
Salvatore Bagni,MF,176,74,"September 25, 1956"
Giuseppe Galderisi,FW,168,70,"March 22, 1963"
Bruno Conti,MF,169,65,"March 13, 1955"
Antonio Di Gennaro,MF,177,72,"October 5, 1958"
Giuseppe Bergomi,DF,184,74,"December 22, 1963"
Fulvio Collovati,DF,183,75,"May 9, 1957"
Giuseppe Baresi,DF-MF,177,74,"February 7, 1958"
Gianluca Vialli,FW,180,77,"July 9, 1964"
Carlo Ancelotti,MF,179,81,"June 10, 1959"
Sebastiano Nela,DF,177,73,"March 13, 1961"
Paolo Rossi,FW,174,67,"September 23, 1956"
Aldo Serena,FW,183,77,"June 25, 1960"
Franco Tancredi,GK,176,72,"January 10, 1955"
Marco Tardelli,DF-MF,178,70,"September 24, 1954"
Roberto Tricella,DF,183,75,"March 18, 1959"
Walter Zenga,GK,188,84,"April 28, 1960"
